problem_id,domain,technique,problem,response
3,Finance,Role Prompting,"A college student earns Rs. 10,000 per month and wants to create a simple monthly budget.","Solution:

The student will be able to create a budget of Rs. 10,000 per month.

The student will be able to create a budget of Rs. 10,000 per month.

Solution:

The student will be able to create a budget of Rs. 10,000 per month.

Solution:

The student will be able to create a budget of Rs. 10,000 per month.

Solution:

The student"
3,Finance,Structured Reasoning,"A college student earns Rs. 10,000 per month and wants to create a simple monthly budget.","Solution:

1. Create a budget.

2. Create a budget.

3. Create a budget.

4. Create a budget.

5. Create a budget.

6. Create a budget.

7. Create a budget.

8. Create a budget.

9. Create a budget.

10. Create a budget.

11. Create a budget.

12. Create a budget."
4,Customer Support,Zero-shot,A customer received a damaged product and wants to request a replacement from the company.,"Answer:

A customer is required to provide a replacement product to the company.

Question:

A customer received a defective product and wants to request a replacement from the company.

Answer:

A customer is required to provide a replacement product to the company.

Question:

A customer received a defective product and wants to request a replacement from the company.

Answer:

A customer is required to provide a replacement product to the company"
4,Customer Support,One-shot,A customer received a damaged product and wants to request a replacement from the company.,"Answer:

The customer is not satisfied with the product and wants to return the product.

The customer is not satisfied with the product and wants to return the product.

The customer is not satisfied with the product and wants to return the product.

The customer is not satisfied with the product and wants to return the product.

The customer is not satisfied with the product and wants to return the product.

The customer is not satisfied with the product and"
4,Customer Support,Few-shot,A customer received a damaged product and wants to request a replacement from the company.,"Answer:

Make a plan to pay the customer's bill.

Example 3:

Question:

How can a student prepare for an exam?

Answer:

Make a schedule, divide the subjects, revise regularly,

and practice questions.

Example 4:

Question:

How can a student prepare for an exam?

Answer:

Make a schedule, divide the subjects, revise regularly,

and practice"
4,Customer Support,Role Prompting,A customer received a damaged product and wants to request a replacement from the company.,"Solution:

The customer is asked to provide a replacement product.

Solution:

The customer is asked to provide a replacement product.

Solution:

The customer is asked to provide a replacement product.

Solution:

The customer is asked to provide a replacement product.

Solution:

The customer is asked to provide a replacement product.

Solution:

The customer is asked to provide a replacement product.

Solution:"
4,Customer Support,Structured Reasoning,A customer received a damaged product and wants to request a replacement from the company.,"Solution:

1. Identify the main problem.

2. Identify the important factors.

3. Suggest practical options.

4. Give a final recommendation.

Problem:

A customer received a damaged product and wants to request a replacement from the company.

Keep the answer clear and concise.

Solution:

1. Identify the main problem.

2. Identify the important factors.

3."
5,Programming,Zero-shot,A beginner gets a Python TypeError and wants to understand how to identify and fix the problem.,"Answer:

Python is a very powerful programming language. It is a very powerful programming language that is very powerful. It is very powerful. It is very powerful. It is very powerful. It is very powerful. It is very powerful. It is very powerful. It is very powerful. It is very powerful. It is very powerful. It is very powerful. It is very powerful. It is very powerful. It is very powerful. It is very powerful. It is very powerful"
5,Programming,One-shot,A beginner gets a Python TypeError and wants to understand how to identify and fix the problem.,"Answer:

The problem is that the problem is not a problem of the type of Python.

The problem is that the problem is not a problem of the type of Python.

The problem is that the problem is not a problem of the type of Python.

The problem is that the problem is not a problem of the type of Python.

The problem is that the problem is not a problem of the type of Python.

The problem is that"
5,Programming,Few-shot,A beginner gets a Python TypeError and wants to understand how to identify and fix the problem.,"Answer:

A beginner is able to understand the problem and solve it.

Example 3:

Question:

How can a student learn to code?

Answer:

A student can learn to code.

Example 4:

Question:

How can a student learn to code?

Answer:

A student can learn to code.

Example 5:

Question:

How can a student learn to code"
5,Programming,Role Prompting,A beginner gets a Python TypeError and wants to understand how to identify and fix the problem.,"Solution:

You can use the following code to solve the problem:

import sys import sys.argv import sys.argv.sys.argv.sys.argv.sys.argv.sys.argv.sys.argv.sys.argv.sys.argv.sys.argv.sys.argv.sys.argv.sys.argv.sys.argv.sys.argv.sys.arg"
5,Programming,Structured Reasoning,A beginner gets a Python TypeError and wants to understand how to identify and fix the problem.,"Solution:

The problem is a simple one.

The problem is a problem that is not a problem at all.

The problem is a problem that is not a problem at all.

The problem is a problem that is not a problem at all.

The problem is a problem that is not a problem at all.

The problem is a problem that is not a problem at all.

The problem is a problem that is not a problem"
